taxon,evc.class.code
Anchusa cespitosa,DAP
Anchusa formosa?,PHA
Anchusa gmelinii,COR
Anchusa ochroleuca,ART+COR
Anchusa officinalis,ART
Anchusa popovii,COR
Anchusa undulata subsp. hybrida,TUB
Andoa berthelotiana,AZO
Andrachne telephioides,TRA
Andreaea alpestris,HER
Andreaea alpina,LOI
Andreaea blyttii,HER
Andreaea crassinervia,HER
Andreaea frigida,HER
Andreaea nivalis,HER
Andreaea obovata,HER
Andreaea rothii,THL
Andreaea sinuosa,HER
Androcymbium gramineum subsp. psammophilum,MOQ
Androcymbium hierrense,OLE
Androcymbium rechingeri,AMM
Andromeda polifolia,OXY
Andropogon distachyos,LYG
Androsace adfinis subsp. adfinis,TRI
Androsace adfinis subsp. brigantiaca,TRI
Androsace adfinis subsp. puberula,TRI
Androsace alpina,THL
Androsace brevis,ASP
Androsace cantabrica,IND
Androsace carnea,ASP+TRI
Androsace chaixii,FAG
Androsace chamaejasme,SES
Androsace ciliata,THL
Androsace cylindrica subsp. cylindrica,ASP
Androsace cylindrica subsp. hirtella,ASP+SES
Androsace cylindrica subsp. willkommii,ASP
Androsace elongata subsp. breistrofferi,PUB
Androsace elongata subsp. elongata,COR
Androsace filiformis,ISO
Androsace halleri,TRI
Androsace hausmannii,ASP
Androsace helvetica,ASP
Androsace lactea,ASP+SES
Androsace laggeri,TRI
Androsace maxima subsp. maxima,CHE+COR+PAR
Androsace maxima subsp. turczaninovii,FES
Androsace obtusifolia,TRI
Androsace pubescens,ASP+THL
Androsace pyrenaica,ASP
Androsace rioxana,IND
Androsace septentrionalis,COR+SED
Androsace vandellii,ASP
Androsace villosa subsp. koso-poljanskii,FES
Androsace villosa subsp. villosa,SES
Androsace vitaliana subsp. assoana,ONO
Androsace vitaliana subsp. aurelii,IND
Androsace vitaliana subsp. cinerea,SES
Androsace vitaliana subsp. flosjugorum,SES
Androsace vitaliana subsp. nevadensis,IND
Androsace vitaliana subsp. sesleri,THL
Androsace vitaliana subsp. vitaliana,ONO+THL
Androsace wulfeniana,THL
Andryala agardhii,ROS
Andryala arenaria,CHE+TUB
Andryala crithmifolia,AEO
Andryala glandulosa subsp. cheiranthifolia,AEO+OLE
Andryala glandulosa subsp. glandulosa,AEO
Andryala integrifolia,LYG+TUB
Andryala laxiflora,LYG
Andryala pinnatifida subsp. pinnatifida,LAU
Andryala pinnatifida subsp. preauxiana,LAU
Andryala ragusina,PHA
Andrzeiowskia cardamine,PHR
Anemonastrum narcissiflorum subsp. chrysanthum,TRI
Anemonastrum narcissiflorum subsp. crinitum,TRI
Anemonastrum narcissiflorum subsp. narcissiflorum,SES
Anemone altaica,ASA
Anemone apennina,PUB
Anemone baldensis,SES+THL
Anemone blanda,PUB
Anemone coronaria,LYG+PUB+QUI
Anemone dichotoma,PHR+PUR
Anemone hortensis subsp. heldreichii,ROS
Anemone hortensis subsp. hortensis,LYG+PUB
Anemone nemorosa,FAG
Anemone palmata,LYG+QUI
Anemone pavonina,PUB
Anemone ranunculoides,FAG
Anemone sylvestris,GER+PUB
Anemone trifolia subsp. albida,PUB+QUE
Anemone trifolia subsp. trifolia,FAG
Anemone uralensis,FAG
Anethum graveolens,CHE
Aneura pinguis,ADI
Angelica archangelica,EPI+MOL+POP
Angelica lignescens,TOL
Angelica pachycarpa,CRI
Angelica pyrenaea,NAR+SCH+ULI
Angelica razulii,MUL
Angelica sylvestris subsp. bernardae,MUL
Angelica sylvestris subsp. sylvestris,EPI+MOL+MUL+POP
Anisantha diandra,CHE+TRA
Anisantha fasciculata,CHE+TRA
Anisantha madritensis,CHE
Anisantha rigida,CHE+TRA
Anisantha rubens subsp. kunkelii,SUP
Anisantha rubens subsp. rubens,CHE+TRA
Anisantha sterilis,SIS
Anisantha tectorum,COR+DIG+ROB+SIS
Anoectangium aestivum,ASP
Anogramma leptophylla,POD
Anomobryum julaceum,ASP
Anomobryum lusitanicum,SED
Anomodon attenuatus,FAG
Anomodon longifolius,FAG
Anomodon rostratus,PIC
Anomodon viticulosus,POD
Anredera cordifolia,EPI
Antennaria carpatica,KOB
Antennaria dioica,NAR
Anthelia juratzkana,HER
Anthemis aetnensis,RUM
Anthemis alpestris,IND
Anthemis ammanthus,CRI
Anthemis arvensis subsp. arvensis,PAR
Anthemis arvensis subsp. incrassata,CHE
Anthemis arvensis subsp. sphacelata,BUL
Anthemis chia,TRA
Anthemis cotula,SIS
Anthemis cretica subsp. carpatica,SED+TRI
Anthemis cretica subsp. columnae,FES
Anthemis cretica subsp. cretica,DAP
Anthemis cretica subsp. gerardiana,LAV
Anthemis cretica subsp. iberica,LAM
Anthemis cretica subsp. pyrethriformis,THL
Anthemis cretica subsp. saxatilis,SED
Anthemis cupaniana,ASP
Anthemis filicaulis,CRI
Anthemis glaberrima,CRI
Anthemis maritima,AMM
Anthemis pedunculata,ONO
Anthemis peregrina,AMM
Anthemis plutonia,CYP
Anthemis regis-borisii,COR
Anthemis rigida,LYG+SAG+TRA+TUB
Anthemis rumelica,FES
