Code,Name,Status,Class,Family
MOL,Alchemilla colorata* ,,Eudicot,Rosaceae
SES,Alchemilla colorata* ,,Eudicot,Rosaceae
MUL,Alchemilla compta ,,Eudicot,Rosaceae
SES,Alchemilla conjuncta,,Eudicot,Rosaceae
SES,Alchemilla connivens ,,Eudicot,Rosaceae
SES,Alchemilla controversa ,,Eudicot,Rosaceae
MON,Alchemilla coriacea,,Eudicot,Rosaceae
SES,Alchemilla coruscans ,,Eudicot,Rosaceae
ASP,Alchemilla crenulata,,Eudicot,Rosaceae
MOL,Alchemilla crinita ,,Eudicot,Rosaceae
MON,Alchemilla curta ,,Eudicot,Rosaceae
MUL,Alchemilla curtiloba ,,Eudicot,Rosaceae
MOL,Alchemilla cymatophylla ,,Eudicot,Rosaceae
HER,Alchemilla decumbens*,,Eudicot,Rosaceae
THL,Alchemilla decumbens*,,Eudicot,Rosaceae
SES,Alchemilla delphinensis ,,Eudicot,Rosaceae
HER,Alchemilla demissa ,,Eudicot,Rosaceae
MOL,Alchemilla diversiloba ,,Eudicot,Rosaceae
MON,Alchemilla effusa ,,Eudicot,Rosaceae
MOL,Alchemilla eurystoma ,,Eudicot,Rosaceae
SES,Alchemilla exigua ,,Eudicot,Rosaceae
SES,Alchemilla fallax ,,Eudicot,Rosaceae
TRI,Alchemilla federiciana ,,Eudicot,Rosaceae
MON,Alchemilla filicaulis ,,Eudicot,Rosaceae
LOI,Alchemilla firma ,,Eudicot,Rosaceae
HER,Alchemilla fissa*,,Eudicot,Rosaceae
TRI,Alchemilla fissa*,,Eudicot,Rosaceae
HER,Alchemilla fissimima ,,Eudicot,Rosaceae
SAC,Alchemilla flabellata* ,,Eudicot,Rosaceae
TRI,Alchemilla flabellata* ,,Eudicot,Rosaceae
HER,Alchemilla flavicoma ,,Eudicot,Rosaceae
SES,Alchemilla flavovirens ,,Eudicot,Rosaceae
MOL,Alchemilla flexicaulis ,,Eudicot,Rosaceae
SES,Alchemilla florulenta ,,Eudicot,Rosaceae
HER,Alchemilla frigens ,,Eudicot,Rosaceae
SES,Alchemilla gaillardiana ,,Eudicot,Rosaceae
HER,Alchemilla galkinae ,,Eudicot,Rosaceae
HER,Alchemilla gemmia ,,Eudicot,Rosaceae
FES,Alchemilla gingolphiana ,,Eudicot,Rosaceae
ART,Alchemilla glabra*,,Eudicot,Rosaceae
MUL,Alchemilla glabra*,,Eudicot,Rosaceae
SES,Alchemilla glacialis ,,Eudicot,Rosaceae
MOL,Alchemilla glaucescens* ,,Eudicot,Rosaceae
NAR,Alchemilla glaucescens* ,,Eudicot,Rosaceae
HER,Alchemilla glomerulans*,,Eudicot,Rosaceae
MON,Alchemilla glomerulans*,,Eudicot,Rosaceae
SES,Alchemilla grossidens ,,Eudicot,Rosaceae
HER,Alchemilla helvetica ,,Eudicot,Rosaceae
MOL,Alchemilla heteropoda ,,Eudicot,Rosaceae
MOL,Alchemilla hirtipes ,,Eudicot,Rosaceae
SES,Alchemilla hoppeana ,,Eudicot,Rosaceae
TRI,Alchemilla hybrida,,Eudicot,Rosaceae
MUL,Alchemilla ilerdensis,,Eudicot,Rosaceae
MOL,Alchemilla impexa ,,Eudicot,Rosaceae
MUL,Alchemilla incisa* ,,Eudicot,Rosaceae
THL,Alchemilla incisa* ,,Eudicot,Rosaceae
MOL,Alchemilla inconcinna ,,Eudicot,Rosaceae
MUL,Alchemilla indivisa,,Eudicot,Rosaceae
MUL,Alchemilla infravallesia ,,Eudicot,Rosaceae
MUL,Alchemilla ischnocarpa,,Eudicot,Rosaceae
SES,Alchemilla jaquetiana ,,Eudicot,Rosaceae
SES,Alchemilla jugensis ,,Eudicot,Rosaceae
HER,Alchemilla lasenii ,,Eudicot,Rosaceae
SES,Alchemilla leptoclada ,,Eudicot,Rosaceae
MON,Alchemilla leutei ,,Eudicot,Rosaceae
MUL,Alchemilla lineata ,,Eudicot,Rosaceae
HER,Alchemilla longana ,,Eudicot,Rosaceae
FES,Alchemilla longinodis ,,Eudicot,Rosaceae
MON,Alchemilla longiuscula ,,Eudicot,Rosaceae
TRI,Alchemilla lucida ,,Eudicot,Rosaceae
